Base,"Schools should not sell junk food on campus, but ... ",,arg0 (actor),verb1,arg1 (Object),arg2,verb2,arg0,arg1,arg2,verb3,arg0,arg1,arg2,Primary Verb,arg0 (agent),arg1 (patient) ,arg2 (beneficiary),verb5,arg0,arg1,arg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but add it with sweet things but sweet things that are good for you,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,add,Schools,it,with sweet things but sweet things that are good for you,are,-,sweet things,good for you,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but many also admit that they do not incorporate enough exercise into their daily routines .,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,admit,many,that they do not incorporate enough exercise into their daily routines,-,incorporate (do),they,enough exercise,into their daily routines,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should n't advertise not eating junk food off of campus or from another location .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,advertise (should),they,not eating junk food off of campus or from another location,-,eating,they,junk food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but the school allow snack machines with more nutritious foods .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow,the school,snack machines with more nutritious foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but allow healthier alternative so children could choose from .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow,Schools,healthier alternative,-,choose (could),children,-,from,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but allow healthier snacks,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow,Schools,healthier snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but allow healthy foods like vegetables and Protein bars .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow,Schools,healthy foods like vegetables and Protein bars,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but allow many some kind of healthy snacks instead .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow,Schools,many some kind of healthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but allow more healthy snacks and food,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow,Schools,more healthy snacks and food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but allow students to bring in whatever foods their family allows .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow,Schools,students to bring in whatever foods their family allows,-,bring,students,whatever foods their family allows,-,allows,their family,whatever foods,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but allow them to take it with them to school if they so wish,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow,Schools,them to take it with them to school if they so wish,-,take,them,it,to school,wish,they,-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but instead allow the sale of more healthful food options in order to promote good health and healthy personal habits .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow,Schools,the sale of more healthful food options,-,promote,Schools,good health and healthy personal habits,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but maybe only allow it during certain times of the day .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow,Schools,it,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it can allow to sell healthy snack and nutritious food .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (can),it,to sell healthy snack and nutritious food,-,sell,it,healthy snack and nutritious food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it can allow to sell nutritious foods .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,allow (can),it,to sell nutritious foods,-,sell,it,nutritious foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
